prefecture,course_name,total_holes,hole,par,distance
茨城県,ひたち海浜公園,27,1,3,43
茨城県,ひたち海浜公園,27,2,3,52
茨城県,ひたち海浜公園,27,3,3,45
茨城県,ひたち海浜公園,27,4,3,40
茨城県,ひたち海浜公園,27,5,3,57
茨城県,ひたち海浜公園,27,6,3,55
茨城県,ひたち海浜公園,27,7,3,69
茨城県,ひたち海浜公園,27,8,3,48
茨城県,ひたち海浜公園,27,9,3,55
茨城県,ひたち海浜公園,27,10,3,70
茨城県,ひたち海浜公園,27,11,3,43
茨城県,ひたち海浜公園,27,12,3,35
茨城県,ひたち海浜公園,27,13,3,42
茨城県,ひたち海浜公園,27,14,3,44
茨城県,ひたち海浜公園,27,15,3,45
茨城県,ひたち海浜公園,27,16,3,46
茨城県,ひたち海浜公園,27,17,3,40
茨城県,ひたち海浜公園,27,18,3,49
茨城県,ひたち海浜公園,27,19,3,73
茨城県,ひたち海浜公園,27,20,3,72
茨城県,ひたち海浜公園,27,21,3,75
茨城県,ひたち海浜公園,27,22,3,71
茨城県,ひたち海浜公園,27,23,3,66
茨城県,ひたち海浜公園,27,24,3,66
茨城県,ひたち海浜公園,27,25,3,61
茨城県,ひたち海浜公園,27,26,3,68
茨城県,ひたち海浜公園,27,27,3,99
茨城県,美浦村 光と風の丘公園,9,1,3,55
茨城県,美浦村 光と風の丘公園,9,2,3,60
茨城県,美浦村 光と風の丘公園,9,3,3,55
茨城県,美浦村 光と風の丘公園,9,4,3,48
茨城県,美浦村 光と風の丘公園,9,5,3,87
茨城県,美浦村 光と風の丘公園,9,6,3,93
茨城県,美浦村 光と風の丘公園,9,7,3,80
茨城県,美浦村 光と風の丘公園,9,8,3,71
茨城県,美浦村 光と風の丘公園,9,9,3,78
茨城県,龍ヶ崎ふるさとふれあい公園,9,1,3,59
茨城県,龍ヶ崎ふるさとふれあい公園,9,2,3,51
茨城県,龍ヶ崎ふるさとふれあい公園,9,3,3,45
茨城県,龍ヶ崎ふるさとふれあい公園,9,4,3,56
茨城県,龍ヶ崎ふるさとふれあい公園,9,5,3,50
茨城県,龍ヶ崎ふるさとふれあい公園,9,6,3,61
茨城県,龍ヶ崎ふるさとふれあい公園,9,7,3,58
茨城県,龍ヶ崎ふるさとふれあい公園,9,8,3,53
茨城県,龍ヶ崎ふるさとふれあい公園,9,9,3,63
茨城県,日光だいや川公園,9,1,3,40
茨城県,日光だいや川公園,9,2,3,30
茨城県,日光だいや川公園,9,3,3,40
茨城県,日光だいや川公園,9,4,3,45
茨城県,日光だいや川公園,9,5,3,54
茨城県,日光だいや川公園,9,6,3,33
茨城県,日光だいや川公園,9,7,3,35
茨城県,日光だいや川公園,9,8,3,50
茨城県,日光だいや川公園,9,9,3,35
栃木県,清原3号緑地,9,1,3,61
栃木県,清原3号緑地,9,2,3,62
栃木県,清原3号緑地,9,3,3,63
栃木県,清原3号緑地,9,4,3,54
栃木県,清原3号緑地,9,5,3,50
栃木県,清原3号緑地,9,6,3,47
栃木県,清原3号緑地,9,7,3,79
栃木県,清原3号緑地,9,8,3,60
栃木県,清原3号緑地,9,9,3,49
栃木県,"	小山思いの森",9,1,4,71
栃木県,"	小山思いの森",9,2,4,81
栃木県,"	小山思いの森",9,3,4,60
栃木県,"	小山思いの森",9,4,4,72
栃木県,"	小山思いの森",9,5,4,63
栃木県,"	小山思いの森",9,6,3,45
栃木県,"	小山思いの森",9,7,4,65
栃木県,"	小山思いの森",9,8,4,52
栃木県,"	小山思いの森",9,9,4,62
栃木県,足利岩井分水路緑地,9,1,3,45
栃木県,足利岩井分水路緑地,9,2,3,50
栃木県,足利岩井分水路緑地,9,3,3,55
栃木県,足利岩井分水路緑地,9,4,3,70
栃木県,足利岩井分水路緑地,9,5,3,40
栃木県,足利岩井分水路緑地,9,6,3,55
栃木県,足利岩井分水路緑地,9,7,3,80
栃木県,足利岩井分水路緑地,9,8,3,45
栃木県,足利岩井分水路緑地,9,9,3,48
栃木県,城見ヶ丘運動公園,18,1,3,
栃木県,城見ヶ丘運動公園,18,2,3,
栃木県,城見ヶ丘運動公園,18,3,3,
栃木県,城見ヶ丘運動公園,18,4,3,
栃木県,城見ヶ丘運動公園,18,5,3,
栃木県,城見ヶ丘運動公園,18,6,3,
栃木県,城見ヶ丘運動公園,18,7,3,
栃木県,城見ヶ丘運動公園,18,8,3,
栃木県,城見ヶ丘運動公園,18,9,3,
栃木県,城見ヶ丘運動公園,18,10,3,
栃木県,城見ヶ丘運動公園,18,11,3,
栃木県,城見ヶ丘運動公園,18,12,3,
栃木県,城見ヶ丘運動公園,18,13,3,
栃木県,城見ヶ丘運動公園,18,14,3,
栃木県,城見ヶ丘運動公園,18,15,3,
栃木県,城見ヶ丘運動公園,18,16,3,
栃木県,城見ヶ丘運動公園,18,17,3,
栃木県,城見ヶ丘運動公園,18,18,3,
群馬県,赤城林間学園,12,1,3,56
群馬県,赤城林間学園,12,2,3,51
群馬県,赤城林間学園,12,3,3,52
群馬県,赤城林間学園,12,4,3,53
群馬県,赤城林間学園,12,5,3,53
群馬県,赤城林間学園,12,6,3,34
群馬県,赤城林間学園,12,7,3,61
群馬県,赤城林間学園,12,8,3,62
群馬県,赤城林間学園,12,9,3,46
群馬県,赤城林間学園,12,10,3,46
群馬県,赤城林間学園,12,11,3,68
群馬県,赤城林間学園,12,12,3,68
東京都,国営昭和記念公園,18,1,3,34
東京都,国営昭和記念公園,18,2,3,47
東京都,国営昭和記念公園,18,3,3,3
東京都,国営昭和記念公園,18,4,3,40
東京都,国営昭和記念公園,18,5,3,50
東京都,国営昭和記念公園,18,6,3,37
東京都,国営昭和記念公園,18,7,3,73
東京都,国営昭和記念公園,18,8,3,53
東京都,国営昭和記念公園,18,9,3,41
東京都,国営昭和記念公園,18,10,3,43
東京都,国営昭和記念公園,18,11,3,80
東京都,国営昭和記念公園,18,12,3,74
東京都,国営昭和記念公園,18,13,3,44
東京都,国営昭和記念公園,18,14,3,75
東京都,国営昭和記念公園,18,15,3,45
東京都,国営昭和記念公園,18,16,3,70
東京都,国営昭和記念公園,18,17,3,77
東京都,国営昭和記念公園,18,18,3,82
東京都,辰巳の森海浜公園,9,1,3,36
東京都,辰巳の森海浜公園,9,2,3,37
東京都,辰巳の森海浜公園,9,3,3,45
東京都,辰巳の森海浜公園,9,4,3,35
東京都,辰巳の森海浜公園,9,5,3,41
東京都,辰巳の森海浜公園,9,6,3,41
東京都,辰巳の森海浜公園,9,7,3,27
東京都,辰巳の森海浜公園,9,8,3,33
東京都,辰巳の森海浜公園,9,9,3,43
千葉県,船橋市運動公園,9,1,3,30
千葉県,船橋市運動公園,9,2,3,38
千葉県,船橋市運動公園,9,3,3,32
千葉県,船橋市運動公園,9,4,3,42
千葉県,船橋市運動公園,9,5,3,35
千葉県,船橋市運動公園,9,6,3,82
千葉県,船橋市運動公園,9,7,3,30
千葉県,船橋市運動公園,9,8,3,20
千葉県,船橋市運動公園,9,9,3,37
神奈川県,愛川ふれあいの村,18,1,3,48
神奈川県,愛川ふれあいの村,18,2,3,52
神奈川県,愛川ふれあいの村,18,3,5,93
神奈川県,愛川ふれあいの村,18,4,3,37
神奈川県,愛川ふれあいの村,18,5,3,52
神奈川県,愛川ふれあいの村,18,6,3,52
神奈川県,愛川ふれあいの村,18,7,3,50
神奈川県,愛川ふれあいの村,18,8,3,54
神奈川県,愛川ふれあいの村,18,9,3,35
神奈川県,愛川ふれあいの村,18,10,3,34
神奈川県,愛川ふれあいの村,18,11,3,41
神奈川県,愛川ふれあいの村,18,12,3,44
神奈川県,愛川ふれあいの村,18,13,3,55
神奈川県,愛川ふれあいの村,18,14,3,33
神奈川県,愛川ふれあいの村,18,15,3,42
神奈川県,愛川ふれあいの村,18,16,3,29
神奈川県,愛川ふれあいの村,18,17,3,46
神奈川県,愛川ふれあいの村,18,18,3,44
神奈川県,細谷戸エコ広場,9,1,3,37
神奈川県,細谷戸エコ広場,9,2,3,39
神奈川県,細谷戸エコ広場,9,3,3,89
神奈川県,細谷戸エコ広場,9,4,3,38
神奈川県,細谷戸エコ広場,9,5,3,53
神奈川県,細谷戸エコ広場,9,6,3,42
神奈川県,細谷戸エコ広場,9,7,3,38
神奈川県,細谷戸エコ広場,9,8,3,43
神奈川県,細谷戸エコ広場,9,9,3,30
埼玉県,国営武蔵丘陵森林公園,9,1,3,45
埼玉県,国営武蔵丘陵森林公園,9,2,3,50
埼玉県,国営武蔵丘陵森林公園,9,3,3,51
埼玉県,国営武蔵丘陵森林公園,9,4,3,67
埼玉県,国営武蔵丘陵森林公園,9,5,3,73
埼玉県,国営武蔵丘陵森林公園,9,6,3,39
埼玉県,国営武蔵丘陵森林公園,9,7,3,48
埼玉県,国営武蔵丘陵森林公園,9,8,3,48
埼玉県,国営武蔵丘陵森林公園,9,9,3,42
